GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jCalc,com.qiita.nimzo6689.calculator,CalcMain,21,10,0,0,8,2,2,2,2,2
jCalc,com.qiita.nimzo6689.calculator,CalcController,28,77,0,0,9,21,7,13,7,13
jCalc,com.qiita.nimzo6689.calculator.code,Operation,29,81,2,2,3,9,4,4,2,4
jCalc,com.qiita.nimzo6689.calculator.code,Operation.new Operation() {...},4,7,0,0,1,1,1,1,1,1
jCalc,com.qiita.nimzo6689.calculator.code,CalcNumber,27,194,1,3,3,20,3,7,2,6
jCalc,com.qiita.nimzo6689.calculator.code,Operation.new Operation() {...},0,11,0,0,0,2,0,2,0,2
jCalc,com.qiita.nimzo6689.calculator.code,Operation.new Operation() {...},4,7,0,0,1,1,1,1,1,1
jCalc,com.qiita.nimzo6689.calculator.code,Operation.new Operation() {...},4,7,0,0,1,1,1,1,1,1
jCalc,com.qiita.nimzo6689.calculator.state,RegisterBState,9,21,0,0,0,3,2,3,2,3
jCalc,com.qiita.nimzo6689.calculator.state,RegisterAState.new RegisterAState() {...},37,43,3,1,11,11,5,3,3,3
jCalc,com.qiita.nimzo6689.calculator.state,RegisterBState.new RegisterBState() {...},87,33,4,0,23,8,6,2,4,2
jCalc,com.qiita.nimzo6689.calculator.state,ResultState,9,21,0,0,0,3,2,3,2,3
jCalc,com.qiita.nimzo6689.calculator.state,OperationState,9,21,0,0,0,3,2,3,2,3
jCalc,com.qiita.nimzo6689.calculator.state,ResultState.new ResultState() {...},82,6,4,0,24,1,7,1,5,1
jCalc,com.qiita.nimzo6689.calculator.state,RegisterAState,9,21,0,0,0,3,2,3,2,3
jCalc,com.qiita.nimzo6689.calculator.state,OperationState.new OperationState() {...},89,26,7,1,23,7,8,2,4,2
